japones,español
わたし,yo
あなた,tu
あのひと,aquella persona
あのかた,aquella persona c
せんせい,profesor
きょうし,profesor
がくせい,estudiante
かいしゃいん,empleado de empresa
しゃいん,empleado de empresa + razon social
ぎんこういん,empleado de banco
いしゃ,doctor
けんきゅうしゃ,investigador
がっこう,escuela
だいがく,universidad
びょういん,hospital
だれ,quien
どなた,quien c
さい,años de edad
なんさい,cuantos años
おいくつ,cuantos años c
はい,si
いいえ,no
はじめまして,mucho gusto
からきました,soy de
どうぞよろしくおねがいします,encantado
しつれいですか,discuple pero
おなまえは,como se llama
こちらはさんです,le presento a
アメリカ,estados unidos
イギリス,reino unido
インド,india
インドネシア,indonesia
かんこく,corea del sur
タイ,tailandia
ちゅうごく,china
ドイツ,alemania
にほん,japon
ブラジル,brasil
